ID,Team,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014.6
1,Arizona,-0.8,0.1,-0.7,+0.2,-0.4,+0.4,-0.4,-0.3,-0.8,-0.1,-0.1,+1.6
2,Atlanta,0,+0.1,0,+0.4,+0.2,-0.3,+0.2,+0.6,+0.5,+0.7,-0.4,-0.5
3,Baltimore,+0.2,+0.7,-0.6,+0.9,-1.1,+0.9,+0.5,+0.5,+0.4,+0.7,-0.3,+0.3
4,Buffalo,-1,+0.6,+0.2,-0.3,+0.6,-0.5,+0.2,-1.1,+0.1,-0.8,+0.2,+0.5
5,Carolina,+0.1,+0.8,+0.9,-0.3,+0.1,+0.1,+0.4,-0.5,+0.1,+0.1,+0.5,+0.8
6,Chicago,-0.6,-0.5,+0.4,+0.5,-0.1,+0.3,-0.4,+0.1,+0.1,+1.2,+0.3,+0.3
7,Cincinnati,+0.1,+0.2,+1.3,+0.4,+0.3,-0.1,-0.1,-0.5,-0.2,+0.2,-0.2,+0.4
8,Cleveland,-0.7,-0.8,-0.4,-0.9,-0.1,+0.3,-0.8,-0.1,+0.1,+0.2,-0.5,+0.6
9,Dallas,-0.4,-0.9,-0.3,+0.1,+0.2,-0.7,+0.1,0,+0.2,-0.8,+0.5,-0.3
10,Denver,-0.4,-0.5,+1.1,0,+0.1,-1.1,+0.4,-0.6,-0.6,-0.2,-0.3,+0.2
11,Detroit,0,+0.2,+0.1,-0.6,-0.1,-0.6,-1.1,+0.2,+0.6,-1,-0.8,+0.2
12,Green Bay,+0.1,-1.1,-1.5,0,+0.1,+0.4,+1.3,+0.8,+1.2,+0.5,-0.1,+1.5
13,Houston,-0.3,+0.3,-0.5,-0.2,-0.8,-0.6,-0.1,0,+0.3,+0.6,-1.2,+0.7
14,Indianapolis,+0.5,+0.9,+0.8,+0.6,+0.9,+0.6,+0.2,-0.2,-0.8,-0.7,+0.3,+0.2
15,Jacksonville,-0.2,+0.4,+0.6,+0.1,+0.5,-0.4,+0.1,-0.9,+0.3,-0.2,-0.4,-1.3
16,Kansas City,+1.1,-0.4,+0.5,+0.2,-0.7,+0.3,+0.1,+0.4,-0.1,-1.5,+1.2,-0.6
17,Miami,+0.1,-1.1,+0.1,+0.1,-0.4,+0.8,-0.4,-0.8,-0.4,-0.6,-0.1,-0.6
18,Minnesota,+0.6,+0.2,+0.3,+0.2,+0.1,-0.4,+0.3,-0.7,-0.2,-0.2,-0.8,-0.8
19,New England,+1.1,+1.0,-0.4,+0.5,+0.9,+0.1,+0.2,+1.6,+0.7,+1.3,+0.7,+1.5
20,New Orleans,-0.1,+0.4,-1.5,-0.5,-0.4,-0.2,+0.9,-0.4,-0.4,+0.1,-0.2,-1.6
21,NY Giants,-1,+0.2,+0.4,-0.1,-0.2,+0.5,-0.4,-0.2,+0.7,+0.9,-0.9,+0.2
22,NY Jets,0,+1.1,-0.4,-0.1,-0.2,-0.1,+0.2,+0.5,-0.2,-0.9,-0.9,-1.5
23,Oakland,-0.1,-1.1,-0.2,-1.4,-0.7,+0.1,-0.8,-0.1,-0.2,-0.4,-0.6,-1
24,Philadelphia,0,+0.3,-0.4,+0.4,-0.5,+0.1,+0.7,+0.6,-0.9,-1.5,+0.8,-0.8
25,Pittsburgh,-0.2,+0.3,+0.5,-0.5,+0.1,+0.5,-0.2,+0.7,-0.8,-0.6,-0.2,-0.2
26,San Diego,-0.7,+0.8,-0.5,+0.7,+1.5,0,+0.4,-0.4,-0.4,+0.1,+0.1,+1.2
27,San Francisco,+0.8,-1.2,-0.6,-0.3,-0.8,-1.1,+0.6,-0.1,+1.7,+0.6,+0.6,+0.8
28,Seattle,-0.1,+0.5,+0.7,-0.4,+0.6,-0.4,-0.5,-0.4,+0.5,+0.7,+1.4,+0.2
29,St Louis,+0.3,-1.4,-0.6,+0.9,-0.6,-0.3,-0.8,+0.3,-0.3,-0.1,+0.5,-0.6
30,Tampa Bay,+0.1,-0.5,+0.3,-0.8,+0.8,+0.2,-0.3,+0.6,-1,+0.2,+0.6,-0.3
31,Tennessee,+0.7,-0.1,-0.4,+0.1,-0.1,+0.6,-0.2,-0.2,+0.1,-0.2,0,+0.3
32,Washington,+0.1,-0.1,+0.3,-0.3,-0.3,0,-0.7,-0.2,-0.9,+0.9,-0.5,-1.5
