ID,Team,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Arizona,37.39%,34.85%,38.08%,39.15%,36.95%,42.63%,35.96%,27.75%,32.20%,25.22%,35.24%,44.38%
2,Atlanta,29.90%,36.61%,42.92%,35.91%,36.29%,43.35%,42.13%,46.00%,43.46%,45.98%,43.00%,43.26%
3,Baltimore,31.51%,35.06%,39.09%,40.16%,38.46%,39.26%,42.80%,40.17%,41.98%,37.50%,36.36%,42.55%
4,Buffalo,31.60%,35.51%,36.82%,31.66%,33.33%,39.90%,25.76%,37.91%,32.46%,38.89%,34.29%,38.46%
5,Carolina,36.59%,40.29%,42.00%,31.10%,36.17%,38.73%,37.27%,30.40%,40.32%,43.14%,44.50%,40.13%
6,Chicago,33.77%,25.11%,28.51%,35.74%,34.03%,35.62%,37.33%,33.19%,32.51%,36.53%,42.13%,41.96%
7,Cincinnati,44.74%,40.18%,43.87%,35.82%,46.15%,34.75%,40.33%,38.84%,37.07%,32.74%,40.08%,40.67%
8,Cleveland,36.63%,29.06%,33.00%,33.49%,42.16%,33.96%,32.62%,37.13%,38.66%,30.73%,35.02%,32.41%
9,Dallas,35.69%,36.45%,40.52%,47.25%,43.72%,42.92%,40.69%,40.76%,39.39%,43.87%,35.00%,50.00%
10,Denver,38.74%,36.99%,36.17%,36.97%,40.40%,47.50%,36.28%,32.37%,31.41%,44.98%,47.95%,46.15%
11,Detroit,35.09%,31.43%,38.84%,32.63%,32.63%,28.78%,35.90%,40.08%,37.39%,41.78%,42.99%,39.13%
12,Green Bay,41.08%,46.54%,41.18%,39.17%,42.34%,44.20%,46.96%,42.91%,48.50%,41.00%,40.53%,45.31%
13,Houston,30.88%,38.21%,34.25%,38.89%,44.56%,42.13%,40.20%,41.15%,41.43%,37.55%,35.93%,36.91%
14,Indianapolis,44.00%,44.62%,46.77%,53.78%,48.13%,49.54%,47.84%,44.70%,34.58%,42.97%,38.14%,44.08%
15,Jacksonville,37.04%,36.87%,39.66%,39.17%,45.00%,40.85%,45.13%,39.90%,33.61%,29.63%,31.11%,34.69%
16,Kansas City,41.98%,47.15%,42.72%,39.13%,34.05%,38.32%,27.31%,35.90%,36.00%,33.02%,36.40%,44.60%
17,Miami,32.68%,34.48%,35.11%,37.61%,37.16%,36.14%,48.98%,40.00%,33.33%,37.68%,35.02%,41.35%
18,Minnesota,46.58%,50.67%,32.82%,33.05%,34.50%,39.83%,44.76%,34.63%,38.43%,37.05%,36.45%,35.57%
19,New England,37.82%,44.90%,41.87%,42.49%,49.12%,43.24%,42.66%,47.39%,46.19%,48.43%,39.84%,43.87%
20,New Orleans,46.29%,33.33%,38.86%,44.62%,46.26%,48.50%,43.72%,48.70%,55.79%,43.96%,43.50%,50.71%
21,NY Giants,33.49%,29.47%,38.89%,38.07%,41.91%,41.94%,42.86%,35.92%,39.03%,40.62%,32.70%,43.51%
22,NY Jets,39.81%,41.42%,35.29%,43.04%,37.61%,41.12%,37.00%,40.43%,34.74%,36.87%,38.96%,38.89%
23,Oakland,30.73%,35.32%,39.72%,36.32%,35.81%,28.50%,29.58%,34.09%,35.68%,35.00%,34.98%,35.26%
24,Philadelphia,34.09%,39.41%,32.73%,41.28%,42.36%,41.95%,35.32%,39.65%,41.67%,37.39%,38.22%,42.86%
25,Pittsburgh,36.12%,43.09%,39.52%,42.86%,47.01%,41.13%,39.41%,44.53%,45.75%,41.96%,37.96%,44.52%
26,San Diego,31.47%,46.19%,42.31%,42.73%,40.24%,45.45%,43.50%,44.88%,48.82%,37.79%,47.39%,45.03%
27,San Francisco,40.00%,32.43%,24.02%,34.45%,31.36%,37.88%,29.82%,31.92%,28.11%,36.62%,37.10%,40.91%
28,Seattle,46.15%,36.49%,39.83%,37.01%,33.76%,31.31%,33.33%,35.12%,33.77%,40.00%,38.11%,41.13%
29,St Louis,42.36%,44.26%,36.49%,37.39%,35.87%,31.94%,32.30%,33.19%,28.07%,32.06%,34.43%,38.13%
30,Tampa Bay,35.45%,38.00%,39.15%,36.94%,40.09%,38.43%,32.57%,42.18%,36.89%,35.85%,31.22%,38.52%
31,Tennessee,41.42%,34.10%,34.40%,32.68%,42.06%,35.65%,41.59%,34.80%,36.70%,38.25%,41.41%,29.13%
32,Washington,33.95%,31.67%,40.46%,37.44%,39.34%,35.19%,39.81%,29.33%,36.82%,36.32%,40.43%,32.59%
