ID,Team,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Arizona,1.6,1.8,2.8,2.3,1.9,1.8,1.2,1.7,1.5,1.8,2.2,1.8
2,Atlanta,1.7,1.4,1.7,2,2.1,1.9,1.8,1.8,1.7,2.3,1.7,1.7
3,Baltimore,2.4,2,2.2,1.9,2,2.1,1.8,1.8,2.4,1.8,2.6,2.2
4,Buffalo,1.5,1.8,2.2,1.6,1.7,2.4,2.1,1.3,1.9,1.5,2.2,2.4
5,Carolina,2.5,1.6,2.1,1.7,1.8,1.8,1.7,1.8,1.8,1.3,1.6,2
6,Chicago,2.2,1.5,1.8,2.2,2.2,1.8,1.8,1.7,2,2.1,1.8,1
7,Cincinnati,1.6,1.9,1.9,1.9,2.1,1.6,1.8,1.9,2.4,2.2,1.4,2.3
8,Cleveland,1.8,1.8,1.8,1.8,1.9,2.2,1.6,1.8,1.8,1.9,1.6,2.3
9,Dallas,1.8,1.6,1.8,1.8,1.9,1.4,2,2,2.3,1.9,1.9,1.9
10,Denver,2,2.1,1.9,1.8,1.9,2.1,2.2,1.6,1.6,1.9,1.7,1.2
11,Detroit,1.4,1.8,1.5,2.1,2.2,1.4,1.8,1.9,1.7,2.2,1.5,2.5
12,Green Bay,1.7,1.8,1.7,2.2,2.3,2.1,2.2,1.6,1.8,1.9,2.3,1.6
13,Houston,1.4,1.5,2.1,1.6,1.8,2.1,2,1.9,2.3,2.4,2.2,2.2
14,Indianapolis,2.1,1.5,1.6,2.2,1.8,1.5,1.4,1.8,1.7,2.2,2.4,2.3
15,Jacksonville,2.1,1.9,1.9,2,1.6,1.6,1.8,1.8,1.6,1.8,1.6,1.4
16,Kansas City,1.3,1.4,2.1,1.9,1.7,1.4,1.8,1.5,1.9,2.1,1.8,1.5
17,Miami,1.8,1.4,1.9,2.2,1.4,1.5,1.8,2.6,2.4,1.9,2.1,2.3
18,Minnesota,1.6,1.3,2.1,1.6,1.5,2,1.7,1.1,1.8,2.3,1.9,2.2
19,New England,2.3,2,1.6,1.8,1.4,2.5,1.9,1.6,2,2.2,2.3,2.5
20,New Orleans,1.9,1.7,2,1.6,1.4,1.7,1.7,2,2,1.4,2.1,1.6
21,NY Giants,1.7,1.8,2.5,1.7,1.7,2.6,2,1.4,1.7,2.4,1.6,0.9
22,NY Jets,2,1.9,1.8,1.8,2.2,1.8,2.2,2.2,1.6,1.7,2.2,1.8
23,Oakland,1.6,1.8,1.9,1.6,2,1.9,1.8,2.6,2.2,2.1,1.9,1.3
24,Philadelphia,1.8,1.9,1.8,1.5,2,2.6,2.2,2.4,1.7,1.9,1.8,2.3
25,Pittsburgh,2,2.1,1.6,1.7,1.5,1.9,1.9,2.2,2,1.9,2,1.8
26,San Diego,1.2,1.6,1.5,1.8,1.8,1.9,2.2,2.1,2.2,1.7,2.3,1.7
27,San Francisco,2.3,1.4,1.8,2.2,1.2,2.1,1.5,1.7,3.1,2.4,2.3,2.2
28,Seattle,1.9,1.6,1.7,1.9,2.1,1.7,1.6,1.8,1.9,1.7,2.3,2.4
29,St Louis,2.8,1.5,1.9,2.3,2,2.2,1.5,2.4,1.8,1.9,1.8,1.8
30,Tampa Bay,1.6,1.5,1.6,1.4,1.9,2.4,1.6,1.8,1.8,2.1,1.8,1.5
31,Tennessee,2.2,1.7,1.8,1.8,2.5,2.1,2,1.6,2,1.9,1.8,1.4
32,Washington,2.1,1.7,1.3,1.9,2.1,2.2,1.6,2.2,2.6,1.8,1.6,1.8
