ID,Team,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Arizona,93.7,73.2,80.6,85.4,85.8,91.3,81.6,83.5,82.5,71.2,80.2,82.2
2,Atlanta,94,85.1,78.4,88.8,88.2,85.1,89.5,85.9,85.8,80.7,102.4,87
3,Baltimore,65.4,68.1,76.4,62.1,87.6,61.9,71.5,75.3,65.8,78.1,82.2,95.6
4,Buffalo,76.6,65.2,82.1,82.5,81.1,83.2,61.1,92.6,90.4,84.4,74.9,80.6
5,Carolina,71.2,71.9,67.5,80.8,85.1,82,71.7,81,98.3,91.7,81.4,97
6,Chicago,79.7,78.2,64.6,68.7,84.7,77.2,92.4,74.9,79.3,71.3,86.9,99.3
7,Cincinnati,83.9,79.5,75.8,84.9,89.2,87.3,75.4,85.2,85.4,80.8,75.3,76.2
8,Cleveland,72.9,79,78.2,75.9,83.4,79.7,90.6,84.8,80.6,86.6,84.1,75.4
9,Dallas,69.8,94,75,82.1,76.9,86.2,86,92.8,88.4,94.7,96,91.8
10,Denver,82.3,82.9,74.5,75.6,88.3,98.5,75,93,95.6,81.5,87.4,85.7
11,Detroit,89.6,89.4,77.6,92.3,96.8,110.8,107,89.1,85.6,91.7,85,82.5
12,Green Bay,70.1,101.5,86.2,75.4,75.9,71.9,74.9,67.3,82.3,76.4,94.8,80.2
13,Houston,86.2,88.7,100,91.8,93.6,92.3,83.2,100.5,69,80.5,93.9,88.7
14,Indianapolis,81.6,90.4,83.6,76.6,76.4,76.9,82,90.1,103.9,91.5,87,88.5
15,Jacksonville,82,82.2,79.1,66.8,79.8,95.4,96,98.5,83.7,89.8,96.5,99.1
16,Kansas City,73.9,97.5,82.3,81.6,81,91.1,87.1,80.1,79.1,99.9,80,90.1
17,Miami,70.8,76.9,82.4,84.4,92.4,76.2,86.9,85,83.7,83.4,77.4,83.1
18,Minnesota,68.8,93.4,75.2,73.1,85.5,83.1,91.7,86.4,107.6,92.9,98.8,94.7
19,New England,58.9,74.6,84.9,67.4,77.9,89.8,80.3,83.1,86.3,88.2,81.6,82
20,New Orleans,76.3,87.7,86.2,84.7,96.9,80,70.4,85.1,88.1,93.8,84.4,96.9
21,NY Giants,89.5,90.8,77.2,79,80.4,75.3,95.1,80.5,85.5,88.7,78.3,89.5
22,NY Jets,83.4,78.9,73.1,79.4,82.6,88.1,64.1,77.8,69.6,78.2,86.5,109.4
23,Oakland,87.3,99.4,90.7,74.1,78.9,79.3,89.5,85.6,81.3,97.5,105.1,100
24,Philadelphia,79.6,75.5,82.2,75.4,80.3,73.5,79.2,82.8,85.7,99.6,83.6,93
25,Pittsburgh,82.4,70.3,73.8,78.3,75.1,66.7,83.4,76.1,74.2,79,82.7,93.9
26,San Diego,94.3,78.6,84.7,75,71.1,90.5,83.2,76.1,92.5,87.9,93.9,90.3
27,San Francisco,78.6,96.5,94.2,90.9,89.9,85,76.2,90,76.1,81.2,78.6,74.1
28,Seattle,82.8,79.4,74.7,85.6,75.2,96,93.4,90.3,74.8,72.7,65.4,89.9
29,St Louis,74.3,92.8,89.8,81.1,85,92.5,96.9,80.4,87.3,83.9,94.7,98.7
30,Tampa Bay,69.7,77.1,71.9,91,77.5,75.3,87.2,77.6,97.2,93.5,88.9,100
31,Tennessee,75.8,91.2,100.7,86,75.4,69.9,91.2,86.4,85.1,92.7,83.3,88
32,Washington,81.4,72,70.6,97.8,76.7,75.6,85.7,89.6,87.4,87.2,96.1,103.4
