ID,Team,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014.6
1,Arizona,0.229,0.271,0.289,0.314,0.398,0.436,0.402,0.31,0.314,0.246,0.365,0.373
2,Atlanta,0.322,0.367,0.344,0.292,0.262,0.385,0.346,0.38,0.355,0.412,0.345,0.427
3,Baltimore,0.383,0.32,0.251,0.336,0.264,0.359,0.378,0.358,0.358,0.393,0.294,0.414
4,Buffalo,0.248,0.403,0.291,0.334,0.274,0.351,0.283,0.297,0.375,0.35,0.304,0.309
5,Carolina,0.341,0.358,0.398,0.272,0.27,0.432,0.308,0.204,0.406,0.361,0.357,0.361
6,Chicago,0.283,0.239,0.279,0.412,0.323,0.38,0.337,0.356,0.361,0.375,0.439,0.365
7,Cincinnati,0.334,0.373,0.404,0.375,0.377,0.207,0.298,0.308,0.328,0.38,0.374,0.428
8,Cleveland,0.264,0.3,0.247,0.254,0.4,0.252,0.252,0.292,0.213,0.303,0.286,0.417
9,Dallas,0.267,0.292,0.303,0.415,0.451,0.37,0.344,0.38,0.363,0.358,0.459,0.411
10,Denver,0.354,0.359,0.384,0.328,0.328,0.363,0.316,0.338,0.304,0.438,0.488,0.447
11,Detroit,0.277,0.312,0.266,0.317,0.359,0.294,0.253,0.34,0.452,0.321,0.358,0.294
12,Green Bay,0.433,0.394,0.283,0.277,0.455,0.414,0.456,0.408,0.547,0.419,0.385,0.455
13,Houston,0.285,0.309,0.273,0.28,0.392,0.359,0.372,0.379,0.364,0.373,0.253,0.373
14,Indianapolis,0.438,0.53,0.432,0.404,0.436,0.381,0.409,0.395,0.256,0.306,0.397,0.411
15,Jacksonville,0.27,0.263,0.336,0.375,0.408,0.3,0.287,0.347,0.243,0.257,0.242,0.221
16,Kansas City,0.484,0.444,0.381,0.323,0.226,0.305,0.289,0.338,0.208,0.208,0.428,0.374
17,Miami,0.321,0.269,0.31,0.251,0.27,0.345,0.331,0.263,0.332,0.293,0.317,0.36
18,Minnesota,0.394,0.403,0.324,0.275,0.379,0.363,0.445,0.286,0.338,0.366,0.386,0.271
19,New England,0.334,0.427,0.366,0.381,0.524,0.374,0.387,0.507,0.469,0.457,0.397,0.393
20,New Orleans,0.334,0.352,0.231,0.375,0.358,0.442,0.509,0.365,0.488,0.432,0.374,0.375
21,NY Giants,0.232,0.319,0.387,0.353,0.356,0.405,0.395,0.381,0.377,0.443,0.298,0.334
22,NY Jets,0.302,0.33,0.265,0.309,0.265,0.413,0.336,0.34,0.366,0.272,0.284,0.249
23,Oakland,0.274,0.34,0.291,0.177,0.283,0.286,0.209,0.395,0.354,0.281,0.322,0.28
24,Philadelphia,0.367,0.399,0.302,0.403,0.321,0.392,0.43,0.414,0.382,0.26,0.419,0.444
25,Pittsburgh,0.294,0.365,0.412,0.339,0.393,0.357,0.363,0.382,0.321,0.328,0.37,0.305
26,San Diego,0.322,0.431,0.409,0.473,0.406,0.464,0.453,0.424,0.387,0.354,0.377,0.411
27,San Francisco,0.37,0.252,0.276,0.325,0.237,0.353,0.351,0.323,0.387,0.429,0.41,0.36
28,Seattle,0.397,0.355,0.417,0.322,0.385,0.317,0.268,0.346,0.32,0.419,0.443,0.455
29,St Louis,0.418,0.32,0.354,0.345,0.256,0.236,0.175,0.274,0.191,0.298,0.36,0.295
30,Tampa Bay,0.291,0.317,0.295,0.217,0.336,0.345,0.254,0.357,0.297,0.386,0.294,0.344
31,Tennessee,0.415,0.327,0.293,0.343,0.279,0.369,0.358,0.393,0.33,0.345,0.351,0.293
32,Washington,0.29,0.235,0.335,0.314,0.307,0.258,0.274,0.301,0.279,0.429,0.302,0.345
