ID,Team,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Arizona,-0.226,-0.053,-0.123,-0.067,0.004,0.02,0.048,-0.087,-0.004,-0.097,0.055,0.067
2,Atlanta,-0.083,0.026,0.003,-0.038,-0.135,0.049,0.02,0.052,-0.008,0.092,-0.097,-0.009
3,Baltimore,0.107,0.054,-0.049,0.121,-0.133,0.105,0.115,0.082,0.091,0.094,-0.048,0.123
4,Buffalo,-0.028,0.112,-0.065,0.032,-0.064,-0.001,-0.017,-0.1,-0.057,-0.068,-0.053,0.051
5,Carolina,0.049,0.026,0.129,-0.036,-0.066,0.103,-0.008,-0.181,-0.035,0.002,0.103,-0.119
6,Chicago,-0.066,-0.078,0.069,0.152,-0.013,0.058,-0.026,0.061,0.036,0.104,-0.029,-0.109
7,Cincinnati,-0.051,0.012,0.036,0.056,-0.004,-0.152,-0.006,-0.105,-0.004,0.075,0.072,0.053
8,Cleveland,-0.06,-0.081,-0.047,-0.088,0.042,-0.097,-0.097,-0.027,-0.084,-0.033,-0.081,0.043
9,Dallas,-0.022,-0.13,-0.022,0.059,0.122,-0.007,0.072,-0.066,0.006,-0.047,0.064,0.059
10,Denver,-0.001,-0.003,0.108,0.029,-0.084,-0.089,-0.006,-0.108,-0.079,0.138,0.103,0.094
11,Detroit,-0.103,-0.015,-0.077,-0.069,-0.05,-0.219,-0.227,-0.027,0.072,-0.117,-0.024,-0.008
12,Green Bay,0.132,-0.006,-0.072,-0.088,0.158,0.034,0.11,0.146,0.19,0.085,-0.033,0.21
13,Houston,-0.076,-0.04,-0.153,-0.095,0.005,-0.062,0.03,-0.044,0.081,0.032,-0.188,0.049
14,Indianapolis,0.073,0.192,0.169,0.038,0.156,0.077,0.125,0.02,-0.149,-0.085,0.038,0.045
15,Jacksonville,-0.07,-0.025,0.045,0.095,0.078,-0.098,-0.1,-0.095,-0.094,-0.147,-0.17,-0.171
16,Kansas City,0.153,-0.01,0.046,0.01,-0.116,-0.117,-0.111,0.016,-0.133,-0.229,0.119,0.102
17,Miami,0.064,-0.082,0.016,-0.03,-0.175,0.012,-0.072,-0.075,0.032,-0.002,0.014,0.094
18,Minnesota,0.025,0.019,-0.01,-0.06,0.086,0.006,0.119,-0.07,-0.1,0.042,-0.038,-0.059
19,New England,0.096,0.164,0.037,0.111,0.233,0.039,0.07,0.199,0.161,0.132,0.089,0.155
20,New Orleans,0.007,-0.028,-0.19,0.009,-0.045,0.047,0.187,0.02,0.132,0.015,0.041,-0.048
21,NY Giants,-0.133,-0.026,0.086,0.01,0.019,0.087,-0.053,0.025,0.034,0.105,-0.054,-0.109
22,NY Jets,0.013,0.063,-0.074,0.006,-0.084,0.064,0.078,0.029,0,-0.096,-0.085,-0.21
23,Oakland,-0.092,-0.072,-0.081,-0.16,-0.135,-0.085,-0.162,0.02,-0.051,-0.164,-0.119,-0.117
24,Philadelphia,0.096,0.148,-0.072,0.087,0.014,0.099,0.095,0.038,0.048,-0.187,0.084,0.066
25,Pittsburgh,-0.044,0.056,0.156,0.016,0.089,0.108,0.028,0.114,0.07,-0.002,0.013,-0.027
26,San Diego,-0.089,0.116,0.097,0.164,0.128,0.125,0.134,0.082,-0.006,0.008,0.033,0.035
27,San Francisco,0.025,-0.193,-0.116,-0.077,-0.101,-0.018,0.084,-0.012,0.141,0.14,0.138,-0.023
28,Seattle,0.081,-0.005,0.156,-0.025,0.09,-0.053,-0.113,-0.042,0.02,0.152,0.213,0.07
29,St Louis,0.073,-0.086,-0.072,-0.051,-0.182,-0.241,-0.254,-0.048,-0.204,-0.036,0.001,-0.109
30,Tampa Bay,0.016,0.001,0.004,-0.131,0.052,0.004,-0.131,0.036,-0.196,0.004,-0.088,-0.095
31,Tennessee,0.073,-0.123,-0.146,-0.034,-0.022,0.139,-0.03,0.095,0.037,-0.089,-0.02,-0.066
32,Washington,-0.077,-0.037,0.043,-0.064,-0.013,-0.059,-0.062,-0.057,-0.092,0.055,-0.18,-0.091
