ID,Team,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014.6
1,Arizona,41.86%,48.65%,28.26%,46.30%,68.00%,59.74%,69.84%,43.24%,51.11%,40.00%,52.00%,30.77%
2,Atlanta,52.17%,55.17%,57.41%,42.55%,39.53%,56.67%,51.79%,60.66%,51.67%,57.97%,51.92%,75.00%
3,Baltimore,42.00%,50.00%,38.10%,41.51%,42.22%,48.28%,51.56%,49.15%,50.00%,61.02%,46.15%,52.00%
4,Buffalo,43.90%,45.90%,34.69%,42.86%,38.24%,48.08%,31.58%,51.35%,52.83%,50.00%,47.73%,42.86%
5,Carolina,41.18%,59.62%,55.00%,46.88%,50.00%,64.15%,50.00%,30.30%,57.89%,59.09%,52.08%,50.00%
6,Chicago,48.89%,42.11%,50.00%,50.85%,40.91%,56.00%,47.06%,49.09%,52.63%,50.00%,58.33%,68.18%
7,Cincinnati,59.57%,50.91%,55.38%,57.69%,48.21%,45.45%,49.06%,49.09%,44.44%,53.45%,71.43%,56.25%
8,Cleveland,43.24%,46.34%,28.21%,48.72%,54.55%,36.84%,43.59%,45.24%,41.94%,43.59%,52.78%,70.00%
9,Dallas,44.44%,52.50%,52.83%,59.02%,54.24%,59.09%,50.88%,59.57%,49.02%,51.02%,68.63%,61.90%
10,Denver,61.40%,46.43%,60.00%,54.55%,49.02%,54.55%,48.08%,55.77%,44.19%,60.87%,72.15%,75.00%
11,Detroit,47.37%,44.19%,50.00%,40.00%,50.00%,61.29%,47.22%,64.44%,66.13%,60.00%,62.50%,64.29%
12,Green Bay,62.71%,58.18%,47.83%,32.65%,57.63%,60.42%,56.92%,62.69%,65.22%,68.52%,50.72%,69.57%
13,Houston,61.76%,58.14%,43.24%,57.14%,60.87%,45.90%,52.46%,62.26%,47.62%,54.69%,48.78%,56.25%
14,Indianapolis,54.17%,63.89%,60.32%,60.00%,55.56%,66.67%,64.62%,66.67%,42.11%,50.98%,56.90%,60.00%
15,Jacksonville,44.19%,42.22%,55.77%,57.69%,57.81%,55.56%,51.06%,63.04%,48.57%,44.44%,43.90%,55.56%
16,Kansas City,76.27%,67.80%,51.85%,60.00%,48.57%,57.78%,47.37%,59.62%,33.33%,27.03%,59.68%,70.59%
17,Miami,47.50%,47.37%,40.38%,43.48%,51.28%,58.33%,64.81%,52.94%,47.17%,55.26%,56.52%,54.55%
18,Minnesota,56.36%,53.85%,45.10%,45.24%,60.00%,44.44%,62.03%,43.48%,56.60%,52.83%,52.08%,43.75%
19,New England,43.08%,58.11%,63.49%,59.46%,70.24%,50.77%,53.73%,61.97%,65.12%,67.50%,58.11%,55.00%
20,New Orleans,55.00%,57.45%,38.10%,55.93%,72.00%,61.29%,61.25%,51.47%,59.04%,68.42%,55.56%,66.67%
21,NY Giants,38.30%,48.15%,45.76%,52.73%,54.93%,48.61%,48.21%,57.41%,54.93%,54.84%,47.22%,60.00%
22,NY Jets,51.35%,55.32%,44.19%,43.14%,36.73%,53.23%,50.94%,44.26%,65.38%,48.94%,50.00%,38.89%
23,Oakland,44.12%,48.78%,46.67%,28.57%,60.00%,40.54%,41.38%,52.08%,51.06%,42.86%,59.52%,75.00%
24,Philadelphia,58.62%,62.30%,53.66%,54.00%,45.10%,47.89%,49.06%,52.46%,51.52%,44.00%,53.23%,40.00%
25,Pittsburgh,50.00%,49.23%,62.50%,50.00%,59.32%,55.93%,48.21%,52.46%,50.91%,55.10%,52.83%,36.84%
26,San Diego,47.83%,69.23%,70.00%,69.23%,54.24%,57.14%,54.55%,55.93%,53.70%,46.81%,51.52%,56.52%
27,San Francisco,46.77%,48.78%,39.29%,41.67%,51.72%,51.92%,57.89%,47.62%,40.68%,54.69%,53.03%,45.00%
28,Seattle,61.82%,57.14%,67.61%,53.06%,56.36%,50.00%,39.58%,45.61%,47.83%,53.85%,53.03%,57.89%
29,St Louis,47.95%,54.17%,47.06%,57.41%,43.59%,34.48%,32.35%,35.71%,38.71%,51.35%,51.02%,53.85%
30,Tampa Bay,55.00%,52.50%,50.00%,43.24%,45.83%,39.29%,54.55%,52.27%,50.00%,59.09%,51.43%,63.16%
31,Tennessee,53.03%,55.56%,47.83%,44.74%,31.03%,59.09%,56.41%,58.14%,59.46%,50.00%,57.14%,56.25%
32,Washington,54.55%,52.27%,62.00%,50.00%,49.12%,47.92%,56.52%,51.16%,41.18%,61.82%,52.00%,64.71%
