ID,Team,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Arizona,4.6,4.3,5.2,5,5.4,5.9,5.9,4.6,5.2,4.1,5.3,5.2
2,Atlanta,4.7,5.3,5.1,5.3,4.9,5.6,5.2,4.9,5.5,5.9,5.4,5.6
3,Baltimore,4.9,4.4,4.4,5,4.6,4.8,5.4,4.9,5.2,5.6,4.5,5.8
4,Buffalo,4.4,4.8,4.4,4.8,4.8,5.1,4.8,5.1,5.7,5.6,4.8,5.1
5,Carolina,5.3,5.3,5.2,5,4.6,5.9,5.2,4.3,6.2,5.8,5.1,5
6,Chicago,4.4,3.9,4.4,5,4.5,4.8,5.1,5,5.1,5,6,5.4
7,Cincinnati,5.1,5.1,5.6,5.5,5.5,4,4.9,5.1,5,5.2,5.4,5.5
8,Cleveland,4.7,4.8,4.8,4.5,5.6,4.3,4.3,5,4.5,5,5,5.5
9,Dallas,4.8,5.2,4.9,5.6,5.9,5.6,6.1,5.6,5.9,5.7,5.7,6.1
10,Denver,5.4,5.9,5.6,5.1,5.7,6.2,5.3,5.5,5,5.7,6.2,6.2
11,Detroit,4.4,4.9,4.5,5.1,5.4,4.7,4.6,5.1,6.1,5.6,5.7,5.1
12,Green Bay,5.8,6,4.9,5,6,5.6,5.9,5.7,6.5,5.5,5.9,6.1
13,Houston,4.8,5.1,4.2,4.7,5.5,6,5.9,6,5.7,5.5,5.1,5.4
14,Indianapolis,5.8,6.7,5.8,5.8,5.7,5.5,5.9,5.6,4.8,5.2,5.5,6
15,Jacksonville,5.2,5.1,5,5.5,5.6,5.1,5.3,5.4,4.1,4.8,4.6,4.9
16,Kansas City,5.9,6.1,5.8,5,4.4,5.2,4.8,5.2,4.9,5,5.3,5.3
17,Miami,4.8,4.3,5.1,4.8,4.7,5.7,5,5,5.1,5.1,5,5.3
18,Minnesota,6,6.4,4.9,4.8,5.6,5.2,5.7,5.1,5.2,5.4,5.4,4.9
19,New England,4.9,5.5,5.5,5.1,6.1,5.3,5.8,5.8,6.3,5.8,5.4,5.6
20,New Orleans,5.3,5.3,4.9,5.8,5.5,6.3,6.2,5.6,6.7,6.2,5.9,6.1
21,NY Giants,4.7,5,5.4,5.2,5.1,5.5,5.8,5.9,5.9,5.9,5,5.2
22,NY Jets,5.3,5.4,4.4,4.9,4.7,5.4,5.1,5.2,4.8,4.6,5,4.7
23,Oakland,4.6,5.5,5,4.2,4.7,4.7,4.5,5.5,6,5.3,5.3,4.8
24,Philadelphia,5.2,5.8,5,6.1,5.5,5.3,5.9,6,6.2,5.3,6.2,5.6
25,Pittsburgh,4.7,5.2,5.4,5.5,5.2,4.9,5.9,5.4,5.9,5.2,5.3,6
26,San Diego,5.3,5.6,5.4,5.7,5.3,6,5.9,6.1,6,4.8,5.9,5.4
27,San Francisco,5.5,4.5,4.1,5.3,4.1,5.2,5,5.3,5.1,6.2,5.4,5.2
28,Seattle,5.5,5.5,5.7,4.8,5.2,4.7,4.9,5,4.8,5.8,5.6,5.8
29,St Louis,5.2,5.8,5.4,5.4,4.6,4.7,4.5,4.6,4.5,5.3,5,5.1
30,Tampa Bay,5.3,5.2,4.7,4.4,5.3,5.2,4.8,5.6,5.3,5.8,4.5,5.3
31,Tennessee,5.4,5.2,5,5.1,4.8,5.2,5.7,5.3,5.4,5.2,5.2,5.6
32,Washington,4.7,4.3,5,5.4,5,5,5.2,5.4,5.2,6,5.3,5.8
